source,target,weight,type
Petite Noir,Danny Brown,1,undirected
The Roots,Nate Ruess,1,undirected
Trouble,Migos,1,undirected
Nicki Minaj,Jeremih,2,undirected
E-40,Philthy Rich,1,undirected
Janelle Monáe,Jeezy,1,undirected
Keyshia Cole,G-Eazy,1,undirected
Common,Syd,2,undirected
Ice Cub,Dr. Dre,1,undirected
The Game,Jay Rock,2,undirected
White Dave,Legendvry,1,undirected
JL B.Hood,Wrekonize,1,undirected
Berner,Young Dolph,1,undirected
Rick Ross,A$AP Ferg,1,undirected
Lil Dicky,Rich Homie Quan,1,undirected
Miguel,ScHoolboy Q,1,undirected
Lil Uzi Vert,DJ Drama,2,undirected
Burnt Out,YG,1,undirected
The Alchemist,Prodigy,1,undirected
Yung Lord,A$AP Nast,1,undirected
Quez,Strap,1,undirected
Young Thug,Offset,2,undirected
Cosculluela,De La Ghetto,2,undirected
Mozzy,Lex Aura,2,undirected
Leezy Lyfe,E MOZZY,1,undirected
Justin Bieber,Travis Scott,1,undirected
E-40,G-Eazy,2,undirected
Danny Brown,Kendrick Lamar,1,undirected
DJ Khaled,JAY Z,1,undirected
Problem,JP Cali,1,undirected
Skepta,A$AP Rocky,1,undirected
Anthony Ramos,Ariana DeBose,1,undirected
DJ Mustard,Nipsey Hussle,2,undirected
Rod Stewart,Mark Ronson,1,undirected
Redneck Souljers,I4NI,1,undirected
Iggy Azalea,Wiz Khalifa,1,undirected
Berner,Strap,1,undirected
Slim Jxmmi,K CAMP,1,undirected
Cardi B,Josh X,1,undirected
Social Club Misfits,Chris Durso,1,undirected
Rome Fortune,PJ,1,undirected
E-40,Baby Treeze,1,undirected
Dizzy Wright,B-Real,1,undirected
Rick Ross,DJ Mustard,1,undirected
RJmrLA,YG,1,undirected
Dame D.O.L.L.A,Jamie Foxx,1,undirected
Skeme,Jay 305,1,undirected
Ras Kass,O.C.,1,undirected
Ransom,Vinnie Paz,1,undirected
The Game,Mvrcus Blvck,4,undirected
T Bone,Don Chief,1,undirected
Ruslan,John Givez,12,undirected
Randy Nota Loca,Arcangel,2,undirected
La Coka Nostra,Sadie Vada,1,undirected
Mozzy,Peezy,1,undirected
E-40,Yo Gotti,1,undirected
Wiz Khalifa,Buddy,2,undirected
Boosie Badazz,2Meka,1,undirected
Plies,YFN Lucci,1,undirected
Bernz,Krizz Kaliko,1,undirected
Wale,Kid Ink,1,undirected
Adam Vida,Rafael Casal,1,undirected
E-40,Keak Da Sneak,1,undirected
YG,21 Savage,1,undirected
Aloe Blacc,Dave East,1,undirected
Chris Brown,Jeezy,1,undirected
Riff Raff,Danny Brown,1,undirected
Santa Estilo,Cartel De Santa,1,undirected
Stro Elliot,J. Period,1,undirected
Yo Gotti,YG,1,undirected
Ronald Isley,James Fauntleroy,1,undirected
Kendrick Lamar,Big Sean,1,undirected
Jeremih,DJ Mustard,1,undirected
La Coka Nostra,Apathy,1,undirected
Ty Dolla $ign,Problem,2,undirected
Germ,Pouya,1,undirected
Common,Tasha Cobbs,1,undirected
Ty Dolla $ign,Mac Miller,2,undirected
Gucci Mane,Big Sean,1,undirected
Lil Dicky,Snoop Dogg,1,undirected
Mac Miller,Lil Uzi Vert,1,undirected
marcus wells,Don Chief,2,undirected
The Game,Scheme,1,undirected
The-Dream,A$AP Rocky,1,undirected
The Game,AV,1,undirected
Trae Tha Truth,Liz Rodrigues,1,undirected
Blaze Ya Dead Homie,Lex the Hex Master,2,undirected
Chevy Woods,Wiz Khalifa,2,undirected
Pusha T,Logic,1,undirected
DJ Mustard,James Fauntleroy,1,undirected
Rod Stewart,A$AP Rocky,1,undirected
Rick Ross,Nas,2,undirected
The Game,DJ Quik,2,undirected
Lady G,London Jae,1,undirected
Arcangel,Nicky Jam,1,undirected
Payso,J3,1,undirected
Rich Homie Quan,Lil Uzi Vert,1,undirected
Future,Charlie Heat,1,undirected
DJ Khaled,Drake,1,undirected
Big Smo,Corey Crowder,1,undirected
Boosie Badazz,Og Dre,1,undirected
La Coka Nostra,Vinnie Paz,1,undirected
Dave East,Smoke Dza,1,undirected
Ty Dolla $ign,Wiz Khalifa,6,undirected
Johnny Cinco,YFN Lucci,1,undirected
Atmosphere,Aesop Rock,1,undirected
JL B.Hood,Krizz Kaliko,1,undirected
Smiggz,Berner,1,undirected
Moonshine Bandits,Young Gunner,1,undirected
1st FKI,Post Malone,1,undirected
Acyde,Yams,1,undirected
Bun B,Slim Thug,1,undirected
Charlie Rock,Philthy Rich,1,undirected
Jadakiss,Young Adz,1,undirected
Gracy,Ruslan,1,undirected
Ty Dolla $ign,A$AP Ferg,1,undirected
Ghostface Killah,Mobb Deep,1,undirected
Jadakiss,Fat Joe,1,undirected
Flo Rida,Robin Thicke,1,undirected
NymLo,Pete Rock,1,undirected
Renee Elise Goldsberry,Original Broadway Cast of Hamilton,4,undirected
Rara,London Jae,1,undirected
Sage The Gemini,Kevin Gates,1,undirected
Hugh Augustine,Isaiah Rashad,1,undirected
A$AP Rocky,A$Ap Ant,1,undirected
Wrekonize,Murs,1,undirected
Betty Wright,Kendrick Lamar,1,undirected
Bizzle,Datin,3,undirected
Joe Moses,Skeme,1,undirected
Domo Genesis,Juicy J,1,undirected
CMT,Mistah F.A.B.,1,undirected
Duce,Syke 800,1,undirected
Lil Goofy,Iamsu!,1,undirected
Rich Homie Quan,Kid Ink,1,undirected
Dora,Dolly,1,undirected
DJ Mustard,Rich The Kid,1,undirected
Dreezy,Wale,1,undirected
Watsky,Rafael Casal,1,undirected
Ghostface Killah,Raekwon,1,undirected
Chrizz Michaels,Starlito,1,undirected
BIA,Kid Ink,1,undirected
Ty Dolla $ign,Migos,1,undirected
Kanye West,Pusha T,1,undirected
Original Broadway Cast of Hamilton,Jon Rua,1,undirected
Rae Sremmurd,Gucci Mane,2,undirected
DJ SpinKing,A Boogie Wit da Hoodie,1,undirected
YFN Lucci,Migos,1,undirected
Nas,DJ Khaled,1,undirected
Rick Ross,YG,1,undirected
The Game,Drake,2,undirected
Tech N9ne,Mistah F.A.B.,1,undirected
Jadakiss,Akon,1,undirected
Murs,John Givez,1,undirected
June,Iamsu!,1,undirected
Rittz,Cheeto Gambine,1,undirected
Snoop Dogg,Bilal,1,undirected
Tracy T,Meek Mill,1,undirected
Darrein Safron,Tech N9ne Collabos,3,undirected
Plies,Jeezy,1,undirected
Randolph,KSI,1,undirected
Jadakiss,Exodus,1,undirected
Boosie Badazz,Mac Milli,1,undirected
Translee,T.I.,3,undirected
Big Smo,William Michael Morgan,1,undirected
WizKid,Drake,1,undirected
Lil Wayne,Pimp C,1,undirected
The Game,YG,2,undirected
Joell Ortiz,Busta Rhymes,1,undirected
Ty Dolla $ign,Diddy,2,undirected
Cardi B,Haitian V,1,undirected
HG Free,Jamesthemormon,3,undirected
Jadakiss,Lil Wayne,1,undirected
The Game,Jay 305,2,undirected
Ty Dolla $ign,Charlie Heat,1,undirected
Eshon Burgundy,Th3 Saga,1,undirected
Domo Genesis,Kendra Foster,1,undirected
Dria,Logic,1,undirected
Arcangel,J Balvin,1,undirected
Bun B,Pimp C,2,undirected
Natalie Sims,Da' T.R.U.T.H.,2,undirected
ShaSha,Dej Loaf,1,undirected
Hus KingPin,SmooVth,1,undirected
DJ Khaled,Fat Joe,1,undirected
HoodRich Pablo Juan,Philthy Rich,1,undirected
1st FKI,DJ Drama,1,undirected
Moonshine Bandits,I4NI,1,undirected
La Coka Nostra,Q-Unique,1,undirected
Dizzy Wright,Reezy,1,undirected
K CAMP,Curren$y,1,undirected
Diddy,Meek Mill,1,undirected
Flo Rida,Chris Brown,1,undirected
Anthony Ramos,Original Broadway Cast of Hamilton,7,undirected
Riff Raff,G-Eazy,1,undirected
Marvalyss,Apathy,1,undirected
Future,Chris Brown,1,undirected
Ty Dolla $ign,Skeme,1,undirected
Young Thug,Quavo,3,undirected
ShaSha,Eric Bellinger,1,undirected
Joe Moses,The Game,2,undirected
Hollywood,Berner,1,undirected
French Montana,Lil Snupe,1,undirected
August Alsina,Future,1,undirected
Adam Vida,Dumbfoundead,1,undirected
Micah,DJ Quik,1,undirected
Hoodie Allen,Meghan Tonjes,1,undirected
E-40,Cousin Fik,2,undirected
Ty Dolla $ign,DJ Drama,1,undirected
Too $hort,Snoop Dogg,2,undirected
Leslie Odom Jr.,Daveed Diggs,10,undirected
Ice Cub,will.i.am,1,undirected
Curren$y,Lloyd,1,undirected
JP Cali,DJ Quik,1,undirected
KXNG Crooked,Kendrick Lamar,1,undirected
The Game,Boogie,1,undirected
Wale,Smoke Dza,1,undirected
Kendrick Lamar,Mac Miller,2,undirected
Jadakiss,BJ The Chicago Kid,1,undirected
Lil Snupe,Meek Mill,1,undirected
Moonshine Bandits,Redneck Souljers,1,undirected
Atmosphere,I.B.E,1,undirected
Easy Redd,Reezy,1,undirected
1st FKI,Lil Uzi Vert,1,undirected
Nick Brewer,KSI,1,undirected
Pharrell Williams,Pusha T,1,undirected
Tech N9ne Collabos,Ubiquitous,1,undirected
Lin-Manuel Miranda,Jon Rua,1,undirected
ScHoolboy Q,Travis Scott,1,undirected
Idaho Jdoe,Iamsu!,1,undirected
EMC Senatra,LA Gun Smoke,2,undirected
A$AP Mob,A$AP Nast,2,undirected
Berner,Lil' Kim,1,undirected
Tech N9ne,Murs,1,undirected
