source,target,weight,type
Big K.R.I.T.,Pete Rock,1,undirected
Jeremih,DJ Khaled,1,undirected
The Lacs,J Rosevelt,1,undirected
Riz MC,Residente,1,undirected
Dizzy Wright,Easy Redd,1,undirected
Lil Wayne,Jeezy,1,undirected
Jaymes Young,Skizzy Mars,1,undirected
Colt Ford,Daniel Lee,1,undirected
The Mighty Agnot,Jamesthemormon,1,undirected
J Alvarez,DJ Luian,1,undirected
Selah the Corner,Sevin,1,undirected
Tech N9ne Collabos,Murs,1,undirected
Christon Gray,Da' T.R.U.T.H.,1,undirected
2 Chainz,Young Dolph,1,undirected
Earl Sweatshirt,Danny Brown,1,undirected
Domo Genesis,Tay Walker,1,undirected
Mozzy,E-40,1,undirected
Sho Baraka,James Portier,2,undirected
Fat Joe,Busta Rhymes,1,undirected
Tech N9ne,Mackenzie Nicole,1,undirected
D.R.A.M.,Erykah Badu,1,undirected
I4NI,J Rosevelt,1,undirected
Rittz,Krizz Kaliko,4,undirected
Slim 400,YG,2,undirected
Crystal Caines,A$AP Ferg,1,undirected
MPA Turk,Peewee Longway,1,undirected
The Game,Skrillex,1,undirected
Future,Travis Scott,1,undirected
Eshon Burgundy,Abiv,1,undirected
Detail,TWENTY88,1,undirected
Bun B,Mistah F.A.B.,1,undirected
Scheme,Jay 305,1,undirected
Angie Rose,Sevin,1,undirected
J. Cole,Omen,1,undirected
Young Dolph,Philthy Rich,1,undirected
Berner,Juicy J,1,undirected
Ty Dolla $ign,Gizzle,1,undirected
The Lacs,Racket County,14,undirected
Danny Brown,Gucci Mane,1,undirected
Meek Mill,Tony Lanez,1,undirected
Dj Swamp,Madrox,1,undirected
Diamante,Flatbush Zombies,1,undirected
Nutso,Apathy,1,undirected
Mvrcus Blvck,Lil E,2,undirected
Grandmaster Melle Mel,Grandmaster Caz,1,undirected
Gunna,Gucci Mane,1,undirected
Sydney James Harcourt,Jasmine Cephas-Jones,1,undirected
Kirko Bangz,Webbie,1,undirected
Macklemore & Ryan Lewis,KRS-One,1,undirected
The Roots,Common,1,undirected
Original Broadway Cast of Hamilton,Daveed Diggs,8,undirected
Ab-Soul,Kendrick Lamar,1,undirected
Dreezy,Jeremih,1,undirected
Juicy J,A$AP Mob,1,undirected
Sage The Gemini,Noodles,1,undirected
Yowda,Zoey Dollaz,1,undirected
Ne-Yo,Nipsey Hussle,1,undirected
Sammy Adams,Kat Nestel,1,undirected
Watsky,Danny Skyhigh McClain,1,undirected
Jay Warren,Jamesthemormon,1,undirected
Charlie Rock,Jim Jones,1,undirected
E-40,Ezale,2,undirected
Madeintyo,A$AP Mob,1,undirected
Jadakiss,Pusha T,1,undirected
2 Chainz,Travis Scott,1,undirected
E-40,ScHoolboy Q,1,undirected
La Coka Nostra,Skam2?,1,undirected
Ab-Soul,The Game,2,undirected
Emanny,Joe Budden,1,undirected
Acyde,A$AP Rocky,1,undirected
CES Cru,Wrekonize,1,undirected
JL,Boogie Man,1,undirected
The Game,Micah,3,undirected
Boosie Badazz,Webbie,4,undirected
E-40,Keyshia Cole,1,undirected
Future,Ludacris,1,undirected
Young T,White Dave,1,undirected
Future,Diddy,2
